STATION,STATION_NAME,DATE,HPCP,ONGOING_FLOOD
COOP:135315,MCGREGOR IA US,19970727 10:00,0.1,0
COOP:135315,MCGREGOR IA US,19970727 11:00,0.1,0
COOP:135315,MCGREGOR IA US,19970727 12:00,0.1,0
COOP:135315,MCGREGOR IA US,19970727 13:00,0.1,0
COOP:135315,MCGREGOR IA US,19970727 14:00,0.1,0
COOP:135315,MCGREGOR IA US,19970727 16:00,0.1,0
COOP:135315,MCGREGOR IA US,19970801 01:00,0,0
COOP:135315,MCGREGOR IA US,19970812 03:00,0.1,0
COOP:135315,MCGREGOR IA US,19970812 04:00,0.3,0
COOP:135315,MCGREGOR IA US,19970812 05:00,0.6,0
COOP:135315,MCGREGOR IA US,19970812 06:00,0.4,0
COOP:135315,MCGREGOR IA US,19970812 07:00,0.2,0
COOP:135315,MCGREGOR IA US,19970812 08:00,0.1,0
COOP:135315,MCGREGOR IA US,19970812 12:00,0.2,0
COOP:135315,MCGREGOR IA US,19970812 13:00,0.1,0
COOP:135315,MCGREGOR IA US,19970820 04:00,0.1,0
COOP:135315,MCGREGOR IA US,19970820 05:00,0.1,0
COOP:135315,MCGREGOR IA US,19970823 23:00,0.1,0
COOP:135315,MCGREGOR IA US,19970824 00:00,0.4,0
COOP:135315,MCGREGOR IA US,19970824 01:00,0.1,0
COOP:135315,MCGREGOR IA US,19970824 18:00,0.1,0
COOP:135315,MCGREGOR IA US,19970828 14:00,0.1,0
COOP:135315,MCGREGOR IA US,19970830 10:00,0.6,0
COOP:135315,MCGREGOR IA US,19970830 19:00,0.1,0
COOP:135315,MCGREGOR IA US,19970901 01:00,0,0
COOP:135315,MCGREGOR IA US,19970905 14:00,0.1,0
COOP:135315,MCGREGOR IA US,19970907 22:00,0.1,0
COOP:135315,MCGREGOR IA US,19970908 03:00,0.1,0
COOP:135315,MCGREGOR IA US,19970908 04:00,0.1,0
COOP:135315,MCGREGOR IA US,19970908 06:00,0.1,0
COOP:135315,MCGREGOR IA US,19970908 07:00,0.1,0
COOP:135315,MCGREGOR IA US,19970908 09:00,0.1,0
COOP:135315,MCGREGOR IA US,19970909 13:00,999.99,0
COOP:135315,MCGREGOR IA US,19971001 00:00,999.99,0
COOP:135315,MCGREGOR IA US,19980101 01:00,0,0
COOP:135315,MCGREGOR IA US,19980104 18:00,0.1,0
COOP:135315,MCGREGOR IA US,19980104 20:00,0.1,0
COOP:135315,MCGREGOR IA US,19980105 10:00,0.1,0
COOP:135315,MCGREGOR IA US,19980105 15:00,0.1,0
COOP:135315,MCGREGOR IA US,19980109 02:00,0.1,0
